words,occurrences,frequency
choix,2951,0.10713953772066896
cour,2950,0.10710323154048575
jeune,2931,0.10641341411700465
mercredi,2926,0.10623188321608858
énergie,2925,0.10619557703590536
mai,2899,0.10525161635114176
maire,2893,0.10503377927004247
éducation,2888,0.10485224836912639
contrôle,2885,0.10474332982857675
matière,2873,0.10430765566637816
objectif,2854,0.10361783824289705
siècle,2814,0.10216559103556844
action,2802,0.10172991687336985
coup,2759,0.10016875112549159
commission,2752,0.09991460786420908
auteur,2745,0.09966046460292657
procès,2745,0.09966046460292657
responsable,2731,0.09915217808036156
lutte,2720,0.09875281009834617
terre,2718,0.09868019773797974
policier,2711,0.09842605447669724
charge,2697,0.09791776795413222
donnée,2672,0.09701011344955184
prise,2667,0.09682858254863576
vendredi,2665,0.09675597018826933
traitement,2647,0.09610245894497145
majorité,2646,0.09606615276478823
gens,2644,0.0959935404044218
analyse,2626,0.09534002916112393
zone,2622,0.09519480444039106
façon,2621,0.09515849826020785
covid19,2615,0.09494066117910856
origine,2609,0.09472282409800926
avril,2608,0.09468651791782605
peine,2608,0.09468651791782605
urgence,2592,0.0941056190348946
guerre,2586,0.0938877819537953
pouvoir,2586,0.0938877819537953
intérêt,2582,0.09374255723306243
note,2582,0.09374255723306243
demande,2577,0.09356102633214636
proposition,2574,0.09345210779159671
vue,2573,0.0934158016114135
réponse,2566,0.09316165835013099
mission,2556,0.09279859654829883
lycée,2548,0.09250814710683311
secteur,2542,0.09229031002573382
épreuve,2542,0.09229031002573382
sens,2539,0.09218139148518417
soin,2531,0.09189094204371845
attentat,2512,0.09120112462023736
accès,2509,0.09109220607968771
mot,2498,0.09069283809767234
territoire,2493,0.09051130719675626
maison,2489,0.0903660824760234
développement,2458,0.08924059089034372
prison,2439,0.08855077346686262
pratique,2436,0.08844185492631297
nature,2430,0.08822401784521368
économie,2405,0.0873163633406333
objet,2403,0.08724375098026686
livre,2400,0.08713483243971722
production,2399,0.087098526259534
journaliste,2380,0.08640870883605291
suite,2377,0.08629979029550326
fonction,2371,0.08608195321440397
intérieur,2356,0.08553736051165574
février,2354,0.08546474815128931
main,2349,0.08528321725037323
concours,2345,0.08513799252964037
taux,2334,0.084738624547625
métier,2321,0.0842666442052432
espace,2316,0.08408511330432712
épidémie,2307,0.08375835768267817
aide,2302,0.08357682678176209
doute,2299,0.08346790824121245
liste,2298,0.08343160206102923
culture,2292,0.08321376497992994
grâce,2291,0.08317745879974672
rôle,2285,0.08295962171864743
fille,2281,0.08281439699791457
milieu,2276,0.08263286609699849
emploi,2260,0.08205196721406705
réforme,2252,0.08176151777260132
procédure,2237,0.08121692506985309
soutien,2237,0.08121692506985309
père,2217,0.08049080146618878
lien,2206,0.08009143348417341
époque,2205,0.0800551273039902
réalité,2200,0.07987359640307412
période,2199,0.0798372902228909
valeur,2186,0.0793653098805091
tribune,2180,0.07914747279940981
chiffre,2178,0.07907486043904338
tribunal,2173,0.0788933295381273
élu,2171,0.07882071717776087
