words,occurrences,frequency
lorsque,3663,0.048798716286022024
jusque,3661,0.04877207216028573
violence,3660,0.048758750097417584
terme,3658,0.04873210597168129
parce,3656,0.048705461845945
problème,3646,0.04857224121726353
justice,3640,0.04849230884005465
soit,3634,0.04841237646284577
organisation,3633,0.04839905439997762
supérieur,3631,0.04837241027424132
victime,3625,0.04829247789703244
avocat,3606,0.04803935870253765
pourtant,3581,0.04770630713083398
site,3564,0.04747983206207548
chercheur,3558,0.0473998996848666
présidentiel,3533,0.04706684811316293
équipe,3518,0.046867017170140725
vivre,3516,0.046840373044404436
entendre,3513,0.046800406855799996
reconnaître,3502,0.04665386416425038
membre,3496,0.04657393178704149
policier,3488,0.04646735528409632
médecin,3481,0.04637410084401929
prévoir,3476,0.04630749052967856
surtout,3468,0.04620091402673338
force,3461,0.04610765958665636
élection,3457,0.046054371335183766
ligne,3438,0.045801252140688975
humain,3428,0.04566803151200751
maladie,3421,0.04557477707193048
marché,3421,0.04557477707193048
comprendre,3410,0.045428234380380864
programme,3408,0.04540159025464457
produit,3392,0.045188437248754224
mieux,3384,0.04508186074580905
classe,3382,0.04505521662007275
responsable,3375,0.04496196217999572
mondial,3374,0.044948640117127577
sein,3370,0.04489535186565499
dossier,3368,0.044868707739918696
enseignement,3359,0.044748809174105376
ensemble,3349,0.044615588545423905
possible,3338,0.04446904585387429
article,3337,0.044455723791006145
parfois,3337,0.044455723791006145
mardi,3333,0.044402435539533554
déclarer,3329,0.04434914728806097
haut,3327,0.044322503162324674
liberté,3290,0.043829586836203235
travailler,3290,0.043829586836203235
commencer,3266,0.043509857327367715
besoin,3243,0.04320344988140033
parler,3240,0.04316348369279589
poursuivre,3240,0.04316348369279589
proche,3235,0.04309687337845516
estime,3234,0.04308355131558701
seulement,3231,0.04304358512698257
différent,3222,0.04292368656116925
nom,3222,0.04292368656116925
mise,3219,0.04288372037256481
texte,3217,0.04285707624682852
état,3215,0.04283043212109222
activité,3209,0.04275049974388334
hôpital,3206,0.0427105335552789
tour,3206,0.0427105335552789
covid19,3201,0.042643923240938165
montrer,3179,0.042350837857838934
juillet,3177,0.04232419373210264
jeudi,3166,0.04217765104055302
économique,3163,0.04213768485194858
mener,3159,0.042084396600476
françois,3146,0.04191120978319009
recevoir,3142,0.0418579215317175
tête,3141,0.04184459946884935
examen,3140,0.04183127740598121
proposer,3138,0.04180463328024491
sortir,3134,0.04175134502877233
obtenir,3124,0.041618124400090856
réseau,3110,0.0414316155199368
intérieur,3106,0.041378327268464216
juge,3090,0.041165174262573864
autorité,3085,0.04109856394823313
écrire,3085,0.04109856394823313
lundi,3082,0.04105859775962869
milliard,3081,0.04104527569676054
eric,3077,0.04099198744528795
certains,3065,0.04083212269087019
afin,3057,0.04072554618792502
plan,3051,0.04064561381071614
utiliser,3047,0.040592325559243546
parent,3045,0.04056568143350725
“,3037,0.040459104930562075
condition,3029,0.040352528427616906
local,3027,0.04032588430188061
laisser,3024,0.04028591811327617
appel,3021,0.04024595192467173
ordre,3019,0.040219307798935434
image,3005,0.04003279891878138
second,3001,0.03997951066730879
loin,2985,0.03976635766141844
objectif,2982,0.039726391472813996
agence,2982,0.039726391472813996
moi,2978,0.03967310322134141
autour,2976,0.039646459095605116
leur,2974,0.03961981496986883
eau,2973,0.039606492907000676
